month,route,direction,ln_teu_actual,ln_teu_pred,teu_actual,teu_pred
2024-01-01,UK-DE,Exports,8.526796963866914,8.477469702007996,5048.250183291774,4805.2757217107755
2024-02-01,UK-DE,Exports,8.619816209849377,8.459109268223944,5540.368035022751,4717.853783219104
2024-03-01,UK-DE,Exports,8.476034011239761,8.50504980390375,4798.3817816854735,4939.650229368728
2024-04-01,UK-DE,Exports,8.471952581407045,8.38204886706946,4778.837434704272,4367.949111544572
2024-05-01,UK-DE,Exports,8.519145624849116,8.324612660635857,5009.771703360422,4124.139457475802
2024-06-01,UK-DE,Exports,8.536876372742817,8.497204400819932,5099.390861935309,4901.048304054833
2024-07-01,UK-DE,Exports,8.535199742209654,8.480429149687486,5090.848230934815,4819.51774766534
2024-08-01,UK-DE,Exports,8.585068258721952,8.476976875837593,5351.157966048974,4802.9081395302655
2024-09-01,UK-DE,Exports,8.509159770326299,8.310661119056274,4959.9938030162075,4067.0008668772757
2024-10-01,UK-DE,Exports,8.417392666820664,8.468222145489598,4525.089644244988,4761.043498099578
2024-11-01,UK-DE,Exports,8.815689694640502,8.433728405437112,6739.154120632128,4599.617401527582
2024-12-01,UK-DE,Exports,8.515943658099113,8.373867284745803,4993.756235122881,4332.358169945097
2025-01-01,UK-DE,Exports,8.562318561298985,8.473106312139725,5230.79504259868,4784.354108085048
2025-02-01,UK-DE,Exports,8.633322973397654,8.397285381224652,5615.708131102925,4435.011027556821
2025-03-01,UK-DE,Exports,8.447949608424866,8.236395365176218,4665.496826298385,3775.9049891466225
2025-04-01,UK-DE,Exports,8.434043066368753,8.413433656878,4601.064949155739,4507.210185183266
2025-05-01,UK-DE,Exports,8.562670424989893,8.248986419376589,5232.635893294017,3823.748179556939
2025-06-01,UK-DE,Exports,8.58490775562585,8.293795876716217,5350.299157550244,3998.9850752375764
2025-07-01,UK-DE,Exports,8.831223174427862,8.406099493789394,6844.653902997841,4474.274496102036
2025-08-01,UK-DE,Exports,8.289867678300922,8.302045658585929,3983.307081697182,4032.112288065146
2025-09-01,UK-DE,Exports,8.625516336904072,8.34542182099806,5572.039015304974,4210.858482610968
2024-01-01,UK-DE,Imports,8.861804457597167,8.818170490808713,7057.2056905279205,6755.893343066092
2024-02-01,UK-DE,Imports,8.93630244117732,8.81497753868089,7603.032358048217,6734.3565003920685
2024-03-01,UK-DE,Imports,8.787947079966118,8.800411785786457,6554.761951423864,6636.9764562169685
2024-04-01,UK-DE,Imports,8.934604757125749,8.875030374611304,7590.135761540959,7151.1636779865285
2024-05-01,UK-DE,Imports,9.097861160575569,9.008819822099065,8936.159239388697,8174.867781346503
2024-06-01,UK-DE,Imports,8.698298174996735,8.656123676703295,5992.704999070365,5745.2211087402375
2024-07-01,UK-DE,Imports,8.754743653037671,8.697543989652223,6340.694937628409,5988.187092669628
2024-08-01,UK-DE,Imports,8.808681555994873,8.7097853842099,6692.090301708817,6061.941360085244
2024-09-01,UK-DE,Imports,9.008372862317094,8.88139351493687,8171.214760662787,7196.812617238394
2024-10-01,UK-DE,Imports,8.732092142086142,8.753023423896938,6198.683080409218,6329.796865702105
2024-11-01,UK-DE,Imports,8.976886388143145,8.647868418462169,7917.940302282476,5697.988053610311
2024-12-01,UK-DE,Imports,8.961542624991369,8.861827500224301,7797.376617308301,7057.3683089608285
2025-01-01,UK-DE,Imports,8.843227494854228,8.758686437708802,6927.314470990588,6365.744282067963
2025-02-01,UK-DE,Imports,8.906775149451159,8.715716962057298,7381.81741484554,6098.005088838604
2025-03-01,UK-DE,Imports,8.950256360595748,8.798474540148682,7709.868114163877,6624.131448513909
2025-04-01,UK-DE,Imports,8.584617840431841,8.559600276941328,5348.748249358769,5216.595562112531
2025-05-01,UK-DE,Imports,8.976224711421192,8.745638877985733,7912.702918417227,6283.226352813869
2025-06-01,UK-DE,Imports,9.083250909177588,8.90416175447574,8806.548832224013,7362.550996649918
2025-07-01,UK-DE,Imports,9.019189086002983,8.665311047746815,8260.076153321592,5798.247801756985
2025-08-01,UK-DE,Imports,8.853750800370095,8.840704914283965,7000.597631838764,6909.861784261075
2025-09-01,UK-DE,Imports,8.96448154812193,8.750742028824993,7820.326214839628,6315.372558354388
2024-01-01,UK-FR,Exports,8.2653549753229,8.077369056074659,3886.852469657335,3220.7484714421544
2024-02-01,UK-FR,Exports,8.055380409287851,8.043528959115529,3150.7015121273166,3113.581527451594
2024-03-01,UK-FR,Exports,8.490324646936342,8.280757250153599,4867.446018215351,3947.182254922728
2024-04-01,UK-FR,Exports,8.462953525097847,8.21256774283409,4736.0253307247895,3686.997583540788
2024-05-01,UK-FR,Exports,8.146103427034319,8.049527457428876,3449.910014854298,3132.3144695827073
2024-06-01,UK-FR,Exports,8.21853500910388,7.89263198878005,3709.0646544209108,2677.4817568038357
2024-07-01,UK-FR,Exports,8.15301419866443,8.058268025162569,3473.834126933476,3159.812676270354
2024-08-01,UK-FR,Exports,8.301872626173404,7.876229824379966,4031.4146623060474,2633.9234625421486
2024-09-01,UK-FR,Exports,8.216561286866636,8.043830882584972,3701.751210760472,3114.521732716633
2024-10-01,UK-FR,Exports,8.40690843095575,8.179867309571897,4477.895367365631,3568.38113938679
2024-11-01,UK-FR,Exports,8.05364412535042,7.89833033663365,3145.2357461341485,2692.782532393829
2024-12-01,UK-FR,Exports,8.430952910473852,8.07536591950118,4586.868886500224,3214.303329789642
2025-01-01,UK-FR,Exports,8.274068231058514,8.226357128396348,3920.86758522812,3738.19116763173
2025-02-01,UK-FR,Exports,8.344874400465455,7.948346227959973,4208.554003034958,2830.8894313621568
2025-03-01,UK-FR,Exports,8.263997157042414,7.973499973031333,3881.578411736914,2903.0000261464597
2025-04-01,UK-FR,Exports,8.5520556669221,8.09900009077901,5177.386477579673,3291.1755526632974
2025-05-01,UK-FR,Exports,8.243939454215406,7.906003981380055,3804.498472869549,2713.5254741227145
2025-06-01,UK-FR,Exports,8.042736477747358,8.006117985000264,3111.115049550783,2999.251345479528
2025-07-01,UK-FR,Exports,8.310417409051064,7.965017346221813,4066.009818843888,2878.4791082277875
2025-08-01,UK-FR,Exports,8.385698924619298,8.099939522112676,4383.921509529151,3294.2688388395513
2025-09-01,UK-FR,Exports,8.21502501257462,7.903255795017061,3696.068671626964,2706.07843802761
2024-01-01,UK-FR,Imports,8.562500396230517,8.415778175584041,5231.7462703377005,4517.789821005379
2024-02-01,UK-FR,Imports,8.362323761216496,8.329178716464389,4282.635033714396,4143.013565807498
2024-03-01,UK-FR,Imports,8.311795913361511,8.049135036871329,4071.6186959479146,3131.0855261392453
2024-04-01,UK-FR,Imports,8.295432971936618,7.989512645271903,4005.537156317671,2949.8589813878684
2024-05-01,UK-FR,Imports,8.423556464516745,8.325157489303598,4553.067517766091,4126.387019094399
2024-06-01,UK-FR,Imports,8.702908204903618,8.4884077789991,6020.395325916237,4858.124703725392
2024-07-01,UK-FR,Imports,8.355443462821976,8.242585220099528,4253.270361461178,3799.349778299574
2024-08-01,UK-FR,Imports,8.769666232863498,8.498789716435404,6436.023972543526,4908.8241744392635
2024-09-01,UK-FR,Imports,8.24004363437347,8.044029738720514,3789.705665995302,3115.1411360564994
2024-10-01,UK-FR,Imports,8.23690347895469,7.9622443022393234,3777.824066011222,2870.5080162602926
2024-11-01,UK-FR,Imports,8.500936832760452,8.343708306689026,4919.375314169683,4203.649294634996
2024-12-01,UK-FR,Imports,8.544574988772979,8.194911825959586,5138.800619819094,3622.471569879366
2025-01-01,UK-FR,Imports,8.109462543697958,8.031196709067508,3325.790082626002,3075.4198548031763
2025-02-01,UK-FR,Imports,8.63221501040598,8.294535079532004,5609.489579920059,4001.9422290990574
2025-03-01,UK-FR,Imports,8.360240000292734,8.041063444915846,4273.720337453943,3105.9144035690774
2025-04-01,UK-FR,Imports,8.500233017766107,8.001239828009723,4915.914202194884,2984.656154321832
