month,route,direction,year,quarter,month_num,time_trend,rev_index_route_month,freight_index,bunker,us_epu_index,capacity_index,congestion_dummy,eu_ip_index,uk_ip_index,trade_imbalance,gbp_eur_rate,uk_cpi,teu_volume
2016-01-01,UK-DE,Exports,2016.0,1,1,1.0,859292.1190498633,222.87844,201.786,154.8573305883009,99.0,0,1.9,1.1,-1169.6858357029423,1.3149,117.16593810022657,3855.429529432561
2016-02-01,UK-DE,Exports,2016.0,1,2,2.0,971500.9440290212,236.46949,218.86,148.32178884302218,99.0,0,-1.4,-0.3,-2649.353166369957,1.2799,117.35944717281485,4108.356405847626
2016-03-01,UK-DE,Exports,2016.0,1,3,3.0,1185074.2196310475,298.04085,226.831,130.49015932384305,99.0,0,-0.5,-0.7,-2190.9609979271036,1.2619,117.55327584136917,3976.214064719811
2016-04-01,UK-DE,Exports,2016.0,2,4,4.0,1881993.8015760698,480.6509,271.605,96.41341581246452,99.0,0,1.6,2.9,-3219.1118255757765,1.2761,117.74742463372823,3915.510824126346
2016-05-01,UK-DE,Exports,2016.0,2,5,5.0,1914876.7005877066,421.63279,295.729,96.22233274231512,99.0,0,-1.5,-1.8,-503.897097829783,1.3011,117.94189407860254,4541.57443634236
2016-06-01,UK-DE,Exports,2016.0,2,6,6.0,1908127.6080907132,497.43744,316.363,233.9561029807024,99.0,0,0.8,-0.7,-2451.9910765944405,1.1984,118.13668470557582,3835.914739531293
2016-07-01,UK-DE,Exports,2016.0,3,7,7.0,1847285.5863431846,495.91775,266.669,164.45840052945698,99.0,0,-0.2,-0.2,-4474.158714798509,1.1841,118.33179704510638,3724.9838029455177
2016-08-01,UK-DE,Exports,2016.0,3,8,8.0,2616434.837096767,541.05471,303.44,106.88562278807385,99.0,0,0.1,-0.3,-1354.8457998130907,1.1775,118.5272316285287,4835.804566042438
2016-09-01,UK-DE,Exports,2016.0,3,9,9.0,2646731.0531375054,674.63377,334.04,86.34353837572384,99.0,0,0.3,0.4,-975.9954853883992,1.1543,118.72298898805474,3923.2116310120455
2016-10-01,UK-DE,Exports,2016.0,4,10,10.0,2937739.4845843823,700.85051,350.425,108.06412479274996,99.0,0,0.7,-2.1,-2724.395926538872,1.115,118.91906965677548,4191.677743923426
2016-11-01,UK-DE,Exports,2016.0,4,11,11.0,4178754.798470919,963.35414,349.256,254.1013277977594,99.0,0,0.4,1.4,-843.9305264358791,1.181,119.11547416866235,4337.714060657817
2016-12-01,UK-DE,Exports,2016.0,4,12,12.0,3757710.612880713,783.08344,395.302,161.42478617964736,99.0,0,-0.4,2.3,-2109.673547025247,1.1731,119.31220305856867,4798.6081954187575
2017-01-01,UK-DE,Exports,2017.0,1,1,13.0,3222604.9280805215,636.43596,376.492,195.0406301487559,99.5,0,-0.1,-1.5,-2006.3609209278848,1.1649,119.50925686223111,5063.517982359956
2017-02-01,UK-DE,Exports,2017.0,1,2,14.0,2977480.4476788575,691.79351,384.755,177.77771703078386,99.5,0,0.7,-0.7,-1396.9249180886345,1.1705,119.70663611627114,4304.00170663477
2017-03-01,UK-DE,Exports,2017.0,1,3,15.0,5391392.099201635,1034.12534,364.376,154.6096950716648,99.5,0,-0.2,-0.5,-2117.7141609834816,1.1778,119.90434135819655,5213.480311005274
2017-04-01,UK-DE,Exports,2017.0,2,4,16.0,3935010.112236001,856.37066,338.031,157.67652276048602,99.5,0,0.8,0.1,-2056.330082202143,1.1885,120.1023731264028,4594.984737375286
2017-05-01,UK-DE,Exports,2017.0,2,5,17.0,2308959.3979079733,681.14818,337.471,129.88805773509438,99.5,0,0.4,0.7,-2675.1556344409855,1.1464,120.30073196017462,3389.8048408614604
2017-06-01,UK-DE,Exports,2017.0,2,6,18.0,4295272.615457403,692.65068,326.145,120.638462013977,99.5,0,0.0,0.8,-980.5142833568725,1.1398,120.49941839968734,6201.210421763251
2017-07-01,UK-DE,Exports,2017.0,3,7,19.0,3089984.648441579,717.21001,362.964,141.13833497496017,99.5,0,1.1,0.4,-2428.071492274388,1.1159,120.69843298600851,4308.340103119279
2017-08-01,UK-DE,Exports,2017.0,3,8,20.0,5165612.460696339,918.25655,381.379,137.85970356732346,99.5,0,0.8,-0.3,-799.1287984257533,1.0857,120.89777626109928,5625.456699106953
2017-09-01,UK-DE,Exports,2017.0,3,9,21.0,4757088.123740041,1012.31803,390.071,116.62001749224488,99.5,0,-0.4,2.0,-2884.799709299861,1.1341,121.09744876781583,4699.203197773767
2017-10-01,UK-DE,Exports,2017.0,4,10,22.0,6123159.784992515,1146.68877,402.132,125.86584390490805,99.5,0,0.0,0.5,-2268.278596568246,1.1405,121.29745104991099,5339.8619967234135
2017-11-01,UK-DE,Exports,2017.0,4,11,23.0,5806407.72840154,1168.11015,397.143,111.28268645750131,99.5,0,2.7,0.3,-1902.7617077831865,1.1361,121.49778365203561,4970.770717471755
2017-12-01,UK-DE,Exports,2017.0,4,12,24.0,4185549.0128625804,1020.77417,434.228,140.35018163208687,99.5,0,0.0,-0.7,-1490.9596956485657,1.126,121.69844711974005,4100.367285804832
2018-01-01,UK-DE,Exports,2018.0,1,1,25.0,4032193.9977314733,812.18274,424.069,160.96720482315624,100.0,0,-2.0,1.4,-1744.2092066030564,1.1432,121.89944199947573,4964.638866533255
